Time_s,Template
0.132,-0.0024638157894736803
0.133,-0.010358552631578916
0.134,0.004904605263157929
0.135,0.009115131578947406
0.136,-0.08299013157894734
0.137,-0.08404276315789473
0.138,-0.09772697368421052
0.139,-0.10299013157894733
0.14,-0.09930592105263156
0.14100000000000001,-0.09825328947368418
0.14200000000000002,-0.10562171052631579
0.14300000000000002,-0.11351644736842104
0.14400000000000002,-0.11193750000000001
0.145,-0.10193750000000001
0.146,-0.09035855263157895
0.147,-0.09088486842105263
0.148,-0.10877960526315789
0.149,-0.10772697368421051
0.15,-0.10351644736842106
0.151,-0.10562171052631579
0.152,-0.11351644736842108
0.153,-0.1235164473684211
0.154,-0.11509539473684212
0.155,-0.10035855263157897
0.156,-0.033516447368421
0.157,-0.03193749999999998
0.158,-0.0429901315789474
0.159,-0.042463815789473724
0.16,-0.03930592105263159
0.161,-0.03456907894736843
0.162,-0.041411184210526315
0.163,-0.055095394736842065
0.164,-0.0419375
0.165,-0.027726973684210503
0.166,-0.02246381578947366
0.167,-0.02404276315789474
0.168,-0.03720065789473685
0.169,-0.038779605263157914
0.17,-0.03562171052631578
0.171,-0.035621710526315783
0.17200000000000001,-0.03930592105263159
0.17300000000000001,-0.051937500000000025
0.17400000000000002,-0.039305921052631566
0.17500000000000002,-0.027726973684210503
0.176,-0.024569078947368417
0.177,-0.019832236842105215
0.178,-0.02141118421052633
0.179,-0.032990131578947375
0.18,-0.03193749999999997
0.181,-0.031411184210526306
0.182,-0.03720065789473685
0.183,-0.05035855263157894
0.184,-0.0429901315789474
0.185,-0.029832236842105276
0.186,-0.025095394736842126
0.187,-0.024042763157894692
0.188,-0.020358552631578982
0.189,-0.031411184210526306
0.19,-0.03246381578947364
0.191,-0.03193749999999998
0.192,-0.037726973684210525
0.193,-0.05088486842105263
0.194,-0.05299013157894735
0.195,-0.03983223684210526
0.196,-0.030884868421052637
0.197,-0.027726973684210537
0.198,-0.028253289473684176
0.199,-0.0408848684210526
0.2,-0.03930592105263155
